"remote_id","acousticness","danceability","energy","instrumentalness","track_key","liveness","mode","popularity","speechiness","tempo","valence","album_year","genres"
"11hqMWwX7sF3sOGdtijofF","0.0084899999","0.7760000229","0.6240000129","0.00208000000566","1","0.3560000062","1","96","0.0505000018","103.98699951","0.3490000069","2016","indie r&b, pop rap"
"5YHR8wBR5jXfGtP766NiAT","0.0487000011","0.503000021","0.8429999948","0","10","0.3440000117","0","89","0.3160000145","128.63000488","0.773999989","2016","trap music"
"2XhWx5K2hFm1lsKSWa71rg","0.0516000018","0.7820000052","0.5720000267","0","4","0.3300000131","0","78","0.0384999998","120.02100372","0.2370000035","2016","pop"
"2LbbLV26X7K1kLzI7xXFE2","0.2240000069","0.6430000067","0.6240000129","0","6","0.1400000006","0","88","0.0922999978","124.07499695","0.4090000093","2016","pop rap"
"7soJgKhQTO8hLP2JPRkL5O","0.4029999971","0.6669999957","0.6129999757","0","1","0.1150000021","1","80","0.0344000012","91.024002075","0.4790000021","2016","dance pop, pop, pop christmas"
"0azC730Exh71aQlOt9Zj3y","0.199000001","0.6299999952","0.9279999733","0.12399999797344","9","0.1480000019","0","92","0.0331000015","123.96299744","0.4600000083","2016","teen pop"
"4cg1yakyRSIOjxKM2I7J1q","0.0324999988","0.7689999938","0.6320000291","0","10","0.1159999967","0","80","0.0537","131.93200684","0.2910000086","2016","alternative dance, edm, electro house, house, new rave"
"0tPShxf8VJUH6RBDEP3tVB","0.1439999938","0.8640000224","0.550999999","0","3","0.1040000021","1","79","0.2199999988","139.93400574","0.3930000067","2016","modern country rock"
"6BbINUfGabVyiNFJpQXn3x","0.00191","0.7179999948","0.67900002","0.01040000002831","11","0.3849999905","0","80","0.070600003","157.97000122","0.2150000036","2016","contemporary country"
"10I3CmmwT0BkOVhduDy53o","0.0042699999","0.7620000243","0.6660000086","0","0","0.1270000041","1","80","0.0916000009","118.97000122","0.2730000019","2016","alternative hip hop, pop rap"
"7EiZI6JVHllARrX9PUvAdX","0.3370000124","0.7220000029","0.3310000002","0.28299999237061","8","0.1459999979","1","87","0.0724999979","143.97399902","0.1019999981","2016","deep trap, trap music"
"3dBveK0fmnxbiXXgAX6lau","0.0511000007","0.7170000076","0.3470000029","2.429999995e-6","11","0.0869999975","0","82","0.0636000037","84.986999512","0.0593000017","2016","indie r&b"
"6QO46cJfmFvvCKUgauKOKS","0.126000002","0.7170000076","0.5630000234","0","7","0.5149999857","1","80","0.0520000011","113.1210022","0.398999989","2016","hip pop"
"316r1KLN0bcmpr7TZcMCXT","0.0960000008","0.6430000067","0.9449999928","7.71000031818e-6","0","0.4950000048","1","76","0.0778999999","120.72299957","0.5260000229","2016","dirty south rap, pop rap, southern hip hop, trap music"
